title,text_intro,gold_keys,list_of_tags
.,"At 200 – 300°C: nuclear densities are localised in the tetrahedral volume roughly covering the 8c and 32f positions with “bulges” of nuclear densities pointing toward the 48i position, while at 400 and 500°C continuous nuclear densities forming a straight line along the <100> direction are found, indicative of oxide-ion diffusion pathway along that direction. In the literature, curved pathways along the <100> direction passing through the 48i site are generally observed in fluorite materials [20], the prevalence of curve pathway as opposed from straight pathway is explained by the repulsion between cation and anions, the curved pathway allowing the cation–anion to maintain a reasonable distance. However, a straight pathway is observed for Y0.785Ta0.215O1.715 [23], as is the case for the present material. This suggests that Ta and Re cations might play a similar role in these systems.
","['oxide-ion diffus', 'anion', '“bulges”', 'ion', 'Ta and Re cation', 'cation', 'present materi', 'oxid', 'fluorit materi']","['oxide-ion diffusion pathway', 'continuous nuclear densities', 'curve pathway', 'straight pathway', 'tetrahedral volume', '32f positions', '48i position', 'straight line', '48i site', 'fluorite materials', 'reasonable distance', 'present material', 'similar role', 'direction', 'bulges', 'indicative', 'literature', 'prevalence', 'repulsion', 'cation']"
.,"Observations show that in the same area with dimensions of a few tenths of a parsec could be many sources, some of which only emits OH lines, and some – only lines H2O. The only known in physics the emission mechanism that can give tremendous power within a narrow range of the spectrum, is coherent (i.e. the same phase and direction) light lasers, which are called optical lasers, and radio-masers. Cosmic maser radio sources emitting in the lines of the molecules have an extremely high brightness temperature radiation Tb. In the molecules of methanol masers (CH3OH) Tb value can reach 109 K, with masers hydroxyl molecules (OH) 6×1012 K. The typical size of the maser clusters is about 1014–1015 m and the neutron star radius is of the order of 10 km. Thus, the radiation dilution coefficient is equaled approximately (2.5×10−23)–(2.5×10−21) and, therefore, μB2B2/4(hν)2∼(2.4×10−5)–(2.4×10−7) for the hydrogen line 21 cm and of the order 10−5–10−7 for the OH 18 cm line or the same order as Eq. (1).
","['OH line', 'radio-mas', 'maser cluster', 'observ', 'cosmic maser radio sourc', 'h2o', 'maser hydroxyl molecul', 'optic laser', 'ch3oh', 'light laser', 'neutron star', 'OH', 'emiss mechan', 'hydrogen line', 'methanol maser', 'radiat dilut coeffici']","['cosmic maser radio sources', 'radiation dilution coefficient', 'neutron star radius', 'masers hydroxyl molecules', 'maser clusters', 'methanol masers', 'emission mechanism', 'tremendous power', 'narrow range', 'light lasers', 'typical size', 'hydrogen line', 'lines h2o', 'sources', 'molecules', 'lines', 'order', 'observations', 'area', 'dimensions']"
.,"Probabilistic and stochastic approaches can facilitate the search for local and global optima. Evolutionary algorithms, such as genetic population (Jomier et al., 2006; Rivest-Henault et al., 2012; Ruijters et al., 2009), are considered as a strategy that is “less likely to get stuck in a local optimum” (Ruijters et al., 2009). A cost function consisting of the “sum of the Gaussian-blurred intensity values in the [DSA] at the projected model points” (Jomier et al., 2006) is optimized using a genetic algorithm optimizer. Other authors “use the Condensation form of sequential Monte Carlo sampling to estimate a cost function gradient” (Florin et al., 2005) for finding the global minimum. Besides, the Kalman filter is successfully adopted (Curwen et al., 1994; Feldmar et al., 1997; Toledo et al., 1998).
","['probabilist and stochast approach', 'genet popul', 'evolutionari algorithm', 'estim a cost function gradien', 'genet algorithm optim', 'condens form of sequenti mont carlo sampl', 'kalman filter', 'search for local and global optima', 'cost function']","['sequential monte carlo sampling', 'genetic algorithm optimizer', 'cost function gradient', 'genetic population', 'stochastic approaches', 'global optima', 'evolutionary algorithms', 'intensity values', 'model points', 'condensation form', 'global minimum', 'local optimum', 'local', 'probabilistic', 'search', 'ruijters', 'strategy', 'sum', 'dsa', 'authors']"
.,"Nuclear theory devoted major efforts since 4 decades to describe thermalization in nuclear reactions, predominantly using semi-classical methods  [13,14,10], in line with similar problems in quantum liquids  [15,16]. There were attempts to develop improved molecular dynamics methods combining quantum features with a semi classical treatment of dynamical correlations  [17,18]. Still, no clear-cut quantum approach is readily available yet, in spite of numerous formal attempts [19,20,10]. The field of clusters and nano structures is far younger but fast developing in relation to the ongoing developments of lasers and imaging techniques. Semiclassical approaches were also considered in the field to include some dynamical corrections  [21,22] and could qualitatively describe dynamical processes. But such approaches are bound to simple metals with sufficiently delocalized wave functions, and thus smooth potentials justifying semiclassical approximations. The case of organic systems, in particular the much celebrated C60   [4,23], cannot be treated this way. Semi classical, and even classical approaches, can be used at very high excitations such as delivered by very intense laser pulses  [2]. In such cases the system is blown up and details of its quantum mechanical features do not matter anymore. But for less violent scenarios, quantum shell effects cannot be ignored.
","['veri intens laser puls', 'field of cluster and nano structur', 'thermal', 'imag techniqu', 'improv molecular dynam method', 'semi classic treatment of dynam correl', 'c60', 'quantum liquid', 'simpl metal', 'semi-class method', 'quantum shell effect', 'laser', 'nuclear reaction', 'quantum mechan featur', 'simpl metal with suffici deloc wave function', 'organ system', 'quantum approach', 'combin quantum featur', 'qualit describ dynam processes.', 'nuclear theori']","['molecular dynamics methods', 'quantum shell effects', 'numerous formal attempts', 'quantum mechanical features', 'semi classical treatment', 'semi classical', 'semi-classical methods', 'quantum liquids', 'quantum approach', 'nuclear theory', 'major efforts', 'nuclear reactions', 'similar problems', 'dynamical correlations', 'nano structures', 'ongoing developments', 'imaging techniques', 'dynamical corrections', 'dynamical processes', 'simple metals']"
.,"Aspect-oriented Programming (AOP) can well solve the cross-cutting concerns. Because of the different features of aspect, AOP requires new techniques for testing. First, this paper proposes a model to test aspect-oriented software. In order to support the testing model of the first three steps, we propose the algorithm of selecting aspect relevant test cases. Then, we develop a new tool to implement the theoretical of automating select test case. Finally, a case of the Bank Account System is studied to illustrate our testing approach.","['aspect-ori program', 'test model', 'solv the cross-cut concern', 'develop a new tool to implement the theoret of autom select test case', 'bank account system', 'aop', 'model to test aspect-ori softwar', 'autom select test case', 'algorithm of select aspect relev test case']","['aspect relevant test cases', 'bank account system', 'select test case', 'cross-cutting concerns', 'testing approach', 'testing model', 'aspect', 'case', 'model', 'programming', 'aop', 'features', 'techniques', 'paper', 'software', 'order', 'steps', 'algorithm', 'tool', 'theoretical']"
.,"An increase of neutron leakage from the core region can be achieved through modifications in the core geometry (usually by adopting a pan-cake geometry of the active core region at the expense of the general neutron economy). Extensive studies determined a set of core design modifications that optimised the total sodium void reactivity (becoming less positive). Among the most efficient design solutions identified is an enlarged sodium plenum above the active core region in combination with an absorber layer above the sodium plenum (to reduce neutron backscattering from the reflector region above the plenum). Fig. 19 shows the combined effect of different upper plenum thicknesses of the absorber and boron layers. It can be observed that the sequential increase of the layer's thickness converge to an asymptotic value of reactivity reduction slightly over 800pcm. The pair of values selected was 60cm for the sodium plenum and 30cm for the boron layer. These modifications implied a considerable increase in the sub-assembly length that was compensated by reducing the upper axial reflector width (Sun et al., 2013).
","['core design modif that optimis the total sodium void reactiv', 'modif in the core geometri', 'reduc the upper axial reflector width', 'reduc neutron backscatt', ""increas of the layer' thick"", 'design solut', 'absorb and boron layer', 'reduc neutron backscatt from the reflector region abov the plenum', 'boron layer', 'sodium', 'increas in the sub-assembl length', 'pan-cak geometri of the activ core region', 'enlarg sodium plenum', 'plenum', 'neutron', 'core region', 'upper plenum', 'core', 'sodium plenum', 'axial reflector', 'reactiv reduct', 'absorb layer', 'neutron leakag']","['upper axial reflector width', 'total sodium void reactivity', 'efficient design solutions', 'upper plenum thicknesses', 'active core region', 'general neutron economy', 'enlarged sodium plenum', 'core design modifications', 'reflector region', 'reactivity reduction', 'core geometry', 'neutron leakage', 'pan-cake geometry', 'extensive studies', 'boron layers', ""layer's thickness"", 'sub-assembly length', 'sequential increase', 'considerable increase', 'absorber layer']"
.,"Although the basic mechanisms of the AD process are reasonably well understood, it has not proved simple to apply existing theories to the interpretation of experimental data. What is needed is a combination of the AD theory and the electronic structure of realistic systems, including surface defects and adsorbed species. Such electronic structure calculations are still complex and time-consuming. In many cases, especially for insulating surfaces, attempts to model MIES spectra use simple or intuitive models. In Refs. [4,6,23] it is assumed that the main transition mechanism is Auger de-excitation, and the MIES spectra have been simulated by the surface density of states (DOS) projected on the surface oxygen ions of the uppermost surface layer using a Hartree–Fock method (the crystal code [24,25]) and a density functional theory (DFT) method (the cetep code [26]). The effect of the overlap between the surface and He(1s) wavefunctions was taken into account only approximately by applying an additional z-dependent exponential factor to the surface DOS. Other workers [5,6] estimated the AD transition probability using a DOS projected on to the projectile 1s atomic orbital. However, they were not able to use state-of-the-art methods for the surface electronic structure. Yet the success of the simplified treatments [4–6], especially for MIES features such as relative energies of the different peaks, suggests that real spectra are indeed related to the projection of the surface DOS on to the projectile orbital.
","['densiti function theori', 'crystal code', 'adsorb speci', 'dft', 'AD', 'surfac oxygen ion', 'auger de-excit', 'mie', 'hartree–fock method', 'cetep code', 'surfac defect', 'densiti of state', 'do', 'mie spectra', 'AD transit']","['projectile 1s atomic orbital', 'main transition mechanism', 'ad transition probability', 'electronic structure calculations', 'surface oxygen ions', 'uppermost surface layer', 'density functional theory', 'surface electronic structure', 'ad theory', 'surface density', 'ad process', 'surface defects', 'basic mechanisms', 'experimental data', 'realistic systems', 'adsorbed species', 'insulating surfaces', 'intuitive models', 'crystal code', 'cetep code']"
.,"In order to test whether haptic patterns can convey or enhance the mood music of a movie, an affective movie clip corpus was required consisting of clips labeled according to the emotion conveyed in the mood music. The following database collections were examined as possible sources for the corpus: the Emotional Movie Database (EMDB) [19], and Film Stim [20]. However, these were discarded after review as unsuitable. The aim of this study is to enhance the mood in the film score, and in the case of the clips in the EMDB, no audio is provided which deemed the clips unsuitable. In the case of the Film Stim database, the clips are in French rather than English, and with no subtitles which where also deemed unsuitable since the studies are carried out with English speaking participants. Furthermore, the Film Stim selection is based on the affective content of the narrative as in most of them there is no music which is also unsuitable as discussed. From our review of available database collections, it was found that at present there is no standard corpus of affective movie clips where the affective indexing referred to the musical score of the clip.
","['affect movi clip corpu', 'databas collect', 'review of avail databas collect', 'english speak particip', 'review', 'test whether haptic pattern can convey or enhanc the mood music', 'emot movi databas', 'film stim databas', 'emdb', 'film stim', 'film stim select', 'enhanc the mood']","['affective movie clip corpus', 'emotional movie database', 'film stim selection', 'affective content', 'database collections', 'film score', 'haptic patterns', 'musical score', 'mood music', 'clips unsuitable', 'movie', 'corpus', 'music', 'unsuitable', 'order', 'emotion', 'sources', 'emdb', 'review', 'aim']"
.,"Volume EM can be performed using transmission or scanning electron microscopes. Each approach has its own strengths and weaknesses, and the choice is dependant on the required lateral (x, y) and axial (z) resolution, and the size of the structure of interest. Historically, transmission electron microscopy (TEM) was the tool of choice for ultrastructural examination of biomedical specimens at sub-nanometer resolution. However, for many cell biology studies structural resolution is actually limited by the deposition of heavy metals onto membranes during sample preparation. In addition, voxel dimensions may only need to be half that of the smallest expected feature of interest (Briggman and Bock, 2012). Advances in scanning electron microscopy (SEM) technology are now driving a paradigm shift in electron imaging. SEMs with field emission electron sources and high efficiency electron detectors can achieve lateral resolutions in the order of 3nm, allowing visualisation of structures such as synaptic vesicles and membranes (De Winter et al., 2009; Knott et al., 2008; Vihinen et al., 2013; Villinger et al., 2012), though resolving individual leaflets of membrane bilayers remains a challenge (Vihinen et al., 2013). The use of low beam energies also limits the interaction volume, enhancing axial resolution (Hennig and Denk, 2007). In this review, volume imaging in both transmission and scanning EMs will be explored, moving from traditional manual techniques, through to the latest systems where aspects of both sample preparation and imaging have been automated.
","['enhanc axial resolut', 'transmiss electron microscopi', 'latest system', 'sem', 'membran bilay', 'resolv individu leaflet of membran bilay', 'ultrastructur examin of biomed specimen', 'tem', 'scan electron microscopi', 'scan electron microscopi (sem) technolog', 'interact volum', 'heavi metal', 'membran', 'volum imag', 'visualis of structur', 'volum EM', 'scan electron microscop', 'transmiss and scan em', 'tradit manual techniqu', 'sampl prepar', 'electron imag', 'high effici electron detector', 'synapt vesicl', 'imag', 'field emiss electron sourc', 'deposit of heavi metal', 'low beam energi', 'transmiss', 'cell biolog studi']","['field emission electron sources', 'high efficiency electron detectors', 'low beam energies', 'traditional manual techniques', 'transmission electron microscopy', 'sub-nanometer resolution', 'volume em', 'ultrastructural examination', 'biomedical specimens', 'heavy metals', 'sample preparation', 'voxel dimensions', 'paradigm shift', 'synaptic vesicles', 'de winter', 'individual leaflets', 'membrane bilayers', 'interaction volume', 'axial resolution', 'latest systems']"
.,"The propagation of unsteady disturbances in ducts of slowly-varying geometry, such as those typical of an aeroengine, can be successfully modelled using a multiple scales approach. From the first application [1] of multiple-scales analysis to sound propagation in ducts of rectangular and circular cross section without mean flow, more recent developments have extended the method to cases with uniform mean flow [2], mean swirling flow [3], ducts of arbitrary cross section [4] (with uniform mean flow) and strongly curved ducts [5]. The multiple-scales approach has a number of distinct advantages over full numerical methods as it is ideally suited to handle higher frequencies and the computational complexity is only marginally more than calculating the eigenmodes inside a straight parallel duct. The accuracy and usefulness of the multiple scales approach has been validated against finite-element methods [6] for realistic aeroengine configurations and acoustic frequencies [7,8].
","['acoust frequenc', 'multiple-scal approach', 'mean flow', 'propag of unsteadi disturb', 'straight parallel duct', 'multiple-scal analysi', 'uniform mean flow', 'mean swirl flow', 'strongli curv duct', 'finite-el method', 'duct', 'sound propag', 'higher frequenc', 'multipl scale approach', 'aeroengin configur', 'aeroengin', 'numer method', 'calcul the eigenmod']","['circular cross section', 'straight parallel duct', 'multiple scales approach', 'full numerical methods', 'realistic aeroengine configurations', 'finite-element methods', 'unsteady disturbances', 'recent developments', 'distinct advantages', 'higher frequencies', 'computational complexity', 'acoustic frequencies', 'aeroengine', 'propagation', 'geometry', 'typical', 'application', 'rectangular', 'flow', 'method']"
